城市编码,区域年鉴.年份,城市别名,级别
450900,2000,玉林市,地级市（区）
451000,2000,百色市,地级市（区）
451100,2000,贺州市,地级市（区）
451200,2000,河池市,地级市（区）
451300,2000,来宾市,地级市（区）
451400,2000,崇左市,地级市（区）
460100,2000,海口市,地级市（区）
460200,2000,三亚市,地级市（区）
510100,2000,成都市,副省级城市
510300,2000,自贡市,地级市（区）
510400,2000,攀枝花市,地级市（区）
510500,2000,泸州市,地级市（区）
510600,2000,德阳市,地级市（区）
510700,2000,绵阳市,地级市（区）
510800,2000,广元市,地级市（区）
510900,2000,遂宁市,地级市（区）
511000,2000,内江市,地级市（区）
511100,2000,乐山市,地级市（区）
511300,2000,南充市,地级市（区）
511400,2000,眉山市,地级市（区）
511500,2000,宜宾市,地级市（区）
511600,2000,广安市,地级市（区）
511700,2000,达州市,地级市（区）
511800,2000,雅安市,地级市（区）
511900,2000,巴中市,地级市（区）
512000,2000,资阳市,地级市（区）
513200,2000,阿坝藏族羌族自治州,地级市（区）
513300,2000,甘孜藏族自治州,地级市（区）
513400,2000,凉山彝族自治州,地级市（区）
520100,2000,贵阳市,地级市（区）
520200,2000,六盘水市,地级市（区）
520300,2000,遵义市,地级市（区）
520400,2000,安顺市,地级市（区）
520500,2000,毕节市,地级市（区）
520600,2000,铜仁市,地级市（区）
522300,2000,黔西南布依族苗族自治州,地级市（区）
522600,2000,黔东南苗族侗族自治州,地级市（区）
522700,2000,黔南布依族苗族自治州,地级市（区）
530100,2000,昆明市,地级市（区）
530300,2000,曲靖市,地级市（区）
530400,2000,玉溪市,地级市（区）
530500,2000,保山市,地级市（区）
530600,2000,昭通市,地级市（区）
530700,2000,丽江市,地级市（区）
530800,2000,普洱市,地级市（区）
530900,2000,临沧市,地级市（区）
532300,2000,楚雄彝族自治州,地级市（区）
532500,2000,红河哈尼族彝族自治州,地级市（区）
532600,2000,文山壮族苗族自治州,地级市（区）
532800,2000,西双版纳傣族自治州,地级市（区）
532900,2000,大理白族自治州,地级市（区）
533100,2000,德宏傣族景颇族自治州,地级市（区）
533300,2000,怒江傈僳族自治州,地级市（区）
533400,2000,迪庆藏族自治州,地级市（区）
540100,2000,拉萨市,地级市（区）
542100,2000,昌都地区,地级市（区）
542200,2000,山南地区,地级市（区）
542300,2000,日喀则地区,地级市（区）
542400,2000,那曲地区,地级市（区）
542500,2000,阿里地区,地级市（区）
542600,2000,林芝地区,地级市（区）
610100,2000,西安市,副省级城市
610200,2000,铜川市,地级市（区）
610300,2000,宝鸡市,地级市（区）
610400,2000,咸阳市,地级市（区）
610500,2000,渭南市,地级市（区）
610600,2000,延安市,地级市（区）
610700,2000,汉中市,地级市（区）
610800,2000,榆林市,地级市（区）
610900,2000,安康市,地级市（区）
611000,2000,商洛市,地级市（区）
620100,2000,兰州市,地级市（区）
620200,2000,嘉峪关市,地级市（区）
620300,2000,金昌市,地级市（区）
620400,2000,白银市,地级市（区）
620500,2000,天水市,地级市（区）
